Tarih,Bölge,Ürün Kategorisi,Ürün Adı,Birim Fiyat (TL),Satış Miktarı,Toplam Tutar (TL),Müşteri Segmenti,Ödeme Yöntemi,Müşteri Yaşı,Cinsiyet,Sipariş Durumu,Müşteri Memnuniyeti,İndirim Oranı
2024-01-25,Adana,Gıda,Bal,388.31,4,1553.24,Bireysel,Kredi Kartı,50.0,Erkek,Tamamlandı,3.6,0.0
2024-01-25,İzmir,Gıda,Zeytinyağı,485.95,2,971.9,Kurumsal,Havale/EFT,48.0,Erkek,Tamamlandı,4.2,0.0
2024-01-26,Bursa,Kozmetik,Güneş Kremi,779.39,1,779.39,Bireysel,Havale/EFT,43.0,Kadın,Tamamlandı,3.4,0.0
2024-01-26,İstanbul,Giyim,Tişört,1872.03,2,3744.06,Kurumsal,Banka Kartı,51.0,Kadın,Tamamlandı,4.0,0.28
2024-01-27,Gaziantep,Kozmetik,Göz Farı,658.84,5,3294.2,Bireysel,Kredi Kartı,46.0,Erkek,Beklemede,3.3,0.0
2024-01-27,Adana,Elektronik,Kulaklık,15143.22,1,15143.22,Bireysel,Kredi Kartı,19.0,Kadın,İptal Edildi,2.8,0.0
2024-01-28,Ankara,Gıda,Çay,367.47,2,734.94,Kurumsal,Havale/EFT,35.0,Kadın,Tamamlandı,3.0,0.09
2024-01-28,Ankara,Kozmetik,Parfüm,292.4,5,1462.0,Bireysel,Kredi Kartı,28.0,Erkek,Tamamlandı,2.0,0.08
2024-01-28,Bursa,Kozmetik,Göz Farı,765.98,3,2297.94,Premium,Kredi Kartı,41.0,Kadın,Tamamlandı,4.1,0.0
2024-01-28,Bursa,Ev & Yaşam,Mum,833.32,1,833.32,Bireysel,Havale/EFT,47.0,Kadın,Tamamlandı,4.0,0.0
2024-01-29,İstanbul,Gıda,Kahve,367.79,3,1103.37,Bireysel,Kapıda Ödeme,47.0,Kadın,Tamamlandı,5.0,0.14
2024-01-29,Gaziantep,Ev & Yaşam,Yastık,1316.37,5,6581.85,Bireysel,Havale/EFT,28.0,Kadın,Tamamlandı,4.6,0.08
2024-01-29,Ankara,Gıda,Çay,472.7,1,472.7,Bireysel,Kredi Kartı,39.0,Kadın,Tamamlandı,3.1,0.0
2024-01-29,İstanbul,Giyim,Elbise,1167.99,5,5839.95,Bireysel,Kapıda Ödeme,33.0,Erkek,Tamamlandı,3.9,0.0
2024-01-29,Samsun,Gıda,Kahve,220.99,3,662.97,Bireysel,Kredi Kartı,46.0,Kadın,İptal Edildi,1.9,0.0
2024-02-01,Bursa,Ev & Yaşam,Yastık,988.9,1,988.9,Premium,Kredi Kartı,18.0,Kadın,Tamamlandı,3.4,0.0
2024-02-02,Bursa,Ev & Yaşam,Havlu Seti,713.96,1,713.96,Bireysel,Havale/EFT,47.0,Erkek,Tamamlandı,3.7,0.0
2024-02-02,Konya,Gıda,Zeytinyağı,61.05,3,183.15,Bireysel,Kredi Kartı,46.0,Kadın,Tamamlandı,4.4,0.0
2024-02-03,İzmir,Elektronik,Akıllı Telefon,17452.22,7,122165.54,Kurumsal,Kapıda Ödeme,32.0,Erkek,Tamamlandı,3.5,0.0
2024-02-03,Konya,Spor,Dambıl Seti,1805.11,1,1805.11,Bireysel,Kredi Kartı,37.0,Kadın,İade Edildi,5.0,0.0
2024-02-03,Bursa,Kitap & Kırtasiye,Boyama Kitabı,100.97,2,201.94,Bireysel,Havale/EFT,32.0,Kadın,Tamamlandı,4.4,0.0
2024-02-04,Adana,Giyim,Ceket,2004.17,9,18037.53,Bireysel,Kapıda Ödeme,35.0,Kadın,Tamamlandı,2.9,0.0
2024-02-04,İstanbul,Ev & Yaşam,Havlu Seti,1425.14,1,1425.14,Kurumsal,Kapıda Ödeme,52.0,Kadın,Tamamlandı,3.1,0.09
2024-02-05,İzmir,Elektronik,Akıllı Saat,17730.29,5,88651.45,Kurumsal,Banka Kartı,25.0,Kadın,Tamamlandı,2.7,0.0
2024-02-05,İzmir,Gıda,Kahve,315.44,2,630.88,Bireysel,Havale/EFT,33.0,Erkek,Tamamlandı,,0.29
2024-02-06,Bursa,Kozmetik,Parfüm,437.18,1,437.18,Premium,Havale/EFT,21.0,Erkek,Tamamlandı,3.4,0.0
2024-02-06,Bursa,Giyim,Ceket,500.99,1,500.99,Premium,Kredi Kartı,44.0,Kadın,Beklemede,4.4,0.0
2024-02-06,İzmir,Giyim,Elbise,1011.84,2,2023.68,Bireysel,Banka Kartı,30.0,Erkek,Tamamlandı,5.0,0.22
2024-02-07,Bursa,Ev & Yaşam,Dekoratif Vazo,1087.22,6,6523.32,Kurumsal,Kredi Kartı,35.0,Erkek,İptal Edildi,3.5,0.0
2024-02-08,Samsun,Giyim,Tişört,1209.37,3,3628.11,Bireysel,Kapıda Ödeme,42.0,Erkek,Tamamlandı,3.8,0.0
2024-02-08,Ankara,Ev & Yaşam,Mum,1262.84,2,2525.68,Bireysel,Kredi Kartı,22.0,Erkek,Tamamlandı,4.3,0.0
2024-02-08,Bursa,Gıda,Kahve,325.32,3,975.96,Premium,Havale/EFT,45.0,Erkek,Tamamlandı,4.6,0.0
2024-02-08,Antalya,Gıda,Çay,273.12,2,546.24,Bireysel,Kapıda Ödeme,51.0,Kadın,Tamamlandı,4.2,0.0
2024-02-08,İstanbul,Spor,Dambıl Seti,1359.05,1,1359.05,Bireysel,Kredi Kartı,18.0,Erkek,Tamamlandı,4.2,0.0
2024-02-08,İstanbul,Gıda,Bal,468.72,4,1874.88,Bireysel,Kredi Kartı,37.0,Erkek,Tamamlandı,4.6,0.0
2024-02-08,Bursa,Kitap & Kırtasiye,Boyama Kitabı,17.13,2,34.26,Premium,Kapıda Ödeme,29.0,Erkek,Tamamlandı,3.1,0.0
2024-02-08,İzmir,Spor,Pilates Bandı,64.2,2,128.4,Bireysel,Kredi Kartı,30.0,Erkek,Tamamlandı,2.7,0.0
2024-02-09,Antalya,Giyim,Ceket,1600.26,1,1600.26,Premium,Kredi Kartı,42.0,Erkek,Tamamlandı,3.7,0.0
2024-02-10,İstanbul,Gıda,Çay,304.06,2,608.12,Kurumsal,Havale/EFT,45.0,Erkek,Beklemede,2.3,0.0
2024-02-10,Ankara,Spor,Pilates Bandı,109.89,1,109.89,Kurumsal,Havale/EFT,42.0,Kadın,İptal Edildi,4.2,0.2
2024-02-10,Ankara,Spor,Koşu Ayakkabısı,1394.64,5,6973.2,Bireysel,Kapıda Ödeme,50.0,Erkek,Tamamlandı,3.4,0.09
2024-02-10,Bursa,Ev & Yaşam,Havlu Seti,1183.58,2,2367.16,Kurumsal,Kredi Kartı,18.0,Kadın,İade Edildi,3.5,0.26
2024-02-11,İzmir,Giyim,Ceket,1151.32,2,2302.64,Kurumsal,Kredi Kartı,20.0,Kadın,İptal Edildi,4.9,0.0
2024-02-11,Ankara,Elektronik,Tablet,7756.33,4,31025.32,Kurumsal,Havale/EFT,25.0,Kadın,Tamamlandı,5.0,0.0
2024-02-11,Adana,Giyim,Pantolon,2037.29,1,2037.29,Bireysel,Banka Kartı,18.0,Erkek,Tamamlandı,4.3,0.0
2024-02-11,Trabzon,Kitap & Kırtasiye,Ajanda,69.45,1,69.45,Bireysel,Banka Kartı,49.0,Kadın,Beklemede,3.7,0.0
2024-02-12,Ankara,Kozmetik,Ruj,352.77,2,705.54,Bireysel,Banka Kartı,55.0,Erkek,Tamamlandı,3.9,0.0
2024-02-12,İstanbul,Giyim,Tişört,899.73,4,3598.92,Bireysel,Banka Kartı,,Erkek,Tamamlandı,4.0,0.28
2024-02-13,İstanbul,Elektronik,Akıllı Saat,2049.71,1,2049.71,Bireysel,Havale/EFT,23.0,Kadın,Beklemede,3.7,0.0
2024-02-15,Gaziantep,Giyim,Ceket,89.48,1,89.48,Kurumsal,Banka Kartı,22.0,Erkek,Tamamlandı,3.9,0.0
2024-02-15,İstanbul,Spor,Spor Çantası,2294.5,6,13767.0,Kurumsal,Havale/EFT,19.0,Kadın,Tamamlandı,4.3,0.0
2024-02-16,Antalya,Elektronik,Kulaklık,14332.55,2,28665.1,Bireysel,Kredi Kartı,28.0,Kadın,Tamamlandı,3.5,0.0
2024-02-16,Ankara,Gıda,Kuruyemiş,319.66,3,958.98,Kurumsal,Kapıda Ödeme,38.0,Kadın,Tamamlandı,3.7,0.07
2024-02-16,Konya,Kozmetik,Ruj,978.28,3,2934.84,Bireysel,Banka Kartı,41.0,Erkek,İptal Edildi,4.0,0.11
2024-02-16,Bursa,Gıda,Kuruyemiş,355.14,1,355.14,Bireysel,Kapıda Ödeme,22.0,Kadın,Tamamlandı,5.0,0.11
2024-02-16,Antalya,Kozmetik,Parfüm,215.47,6,1292.82,Kurumsal,Kredi Kartı,33.0,Kadın,Tamamlandı,,0.0
2024-02-16,Antalya,Gıda,Zeytinyağı,197.68,1,197.68,Bireysel,Kredi Kartı,18.0,Erkek,Tamamlandı,4.1,0.0
2024-02-17,Ankara,Elektronik,Akıllı Telefon,10164.75,2,20329.5,Premium,Havale/EFT,38.0,Erkek,Tamamlandı,4.1,0.22
2024-02-17,İstanbul,Ev & Yaşam,Nevresim Takımı,198.38,1,198.38,Kurumsal,Kapıda Ödeme,31.0,Kadın,Tamamlandı,4.6,0.15
2024-02-18,Bursa,Gıda,Çay,456.13,6,2736.78,Premium,Kapıda Ödeme,42.0,Erkek,Tamamlandı,1.5,0.3
2024-02-18,İstanbul,Giyim,Elbise,2202.63,5,11013.15,Premium,Kredi Kartı,39.0,Kadın,Tamamlandı,4.3,0.09
2024-02-20,Konya,Elektronik,Akıllı Telefon,16160.44,5,80802.2,Bireysel,Banka Kartı,27.0,Erkek,Tamamlandı,4.6,0.18
2024-02-20,İstanbul,Giyim,Pantolon,2363.91,1,2363.91,Kurumsal,Kapıda Ödeme,39.0,Kadın,Tamamlandı,4.6,0.14
2024-02-20,Antalya,Giyim,Elbise,2013.78,1,2013.78,Kurumsal,Kredi Kartı,25.0,Kadın,Tamamlandı,4.0,0.25
2024-02-20,Gaziantep,Kozmetik,Nemlendirici Krem,866.18,1,866.18,Bireysel,Banka Kartı,37.0,Kadın,Tamamlandı,4.3,0.0
2024-02-20,İzmir,Kitap & Kırtasiye,Ajanda,73.0,1,73.0,Kurumsal,Havale/EFT,41.0,Erkek,Tamamlandı,4.7,0.0
2024-02-22,Ankara,Ev & Yaşam,Mum,62.32,3,186.96,Kurumsal,Havale/EFT,42.0,Kadın,Tamamlandı,3.3,0.0
2024-02-22,İzmir,Spor,Koşu Ayakkabısı,969.82,2,1939.64,Kurumsal,Kapıda Ödeme,39.0,Erkek,Tamamlandı,4.2,0.22
2024-02-22,Antalya,Giyim,Pantolon,1608.77,3,4826.31,Bireysel,Kredi Kartı,46.0,Kadın,Tamamlandı,3.0,0.0
2024-02-22,Ankara,Giyim,Ceket,1948.61,3,5845.83,Kurumsal,Kapıda Ödeme,26.0,Erkek,Tamamlandı,4.4,0.0
2024-02-22,Antalya,Elektronik,Akıllı Saat,17877.76,2,35755.52,Bireysel,Havale/EFT,42.0,Erkek,Tamamlandı,5.0,0.13
2024-02-23,İstanbul,Giyim,Ayakkabı,1376.37,3,4129.11,Bireysel,Banka Kartı,46.0,Erkek,Tamamlandı,1.5,0.0
2024-02-23,Gaziantep,Gıda,Kahve,498.91,2,997.82,Premium,Kredi Kartı,18.0,Erkek,Tamamlandı,3.4,0.0
2024-02-23,Ankara,Kitap & Kırtasiye,Roman,209.71,1,209.71,Bireysel,Kredi Kartı,19.0,Erkek,İade Edildi,3.5,0.0
2024-02-23,Ankara,Kitap & Kırtasiye,Ajanda,59.68,2,119.36,Kurumsal,Kredi Kartı,30.0,Erkek,Tamamlandı,4.0,0.0
2024-02-24,İstanbul,Ev & Yaşam,Nevresim Takımı,1015.36,9,9138.24,Bireysel,Kredi Kartı,42.0,Erkek,Tamamlandı,1.9,0.25
2024-02-24,İstanbul,Elektronik,Kulaklık,5428.79,4,21715.16,Bireysel,Banka Kartı,38.0,Erkek,Tamamlandı,3.3,0.0
2024-02-24,İzmir,Elektronik,Akıllı Telefon,24167.53,1,24167.53,Kurumsal,Kapıda Ödeme,31.0,Erkek,Beklemede,4.4,0.0
2024-02-25,Ankara,Gıda,Kuruyemiş,259.07,1,259.07,Bireysel,Havale/EFT,36.0,Kadın,Tamamlandı,4.1,0.25
2024-02-25,Bursa,Ev & Yaşam,Dekoratif Vazo,832.51,2,1665.02,Bireysel,Kredi Kartı,37.0,Erkek,Tamamlandı,5.0,0.0
2024-02-27,Antalya,Ev & Yaşam,Nevresim Takımı,357.52,1,357.52,Premium,Banka Kartı,41.0,Kadın,İade Edildi,4.9,0.0
2024-02-27,Samsun,Elektronik,Akıllı Saat,24163.0,3,72489.0,Bireysel,Banka Kartı,35.0,Erkek,Tamamlandı,4.1,0.0
2024-02-27,İstanbul,Ev & Yaşam,Havlu Seti,201.76,7,1412.32,Bireysel,Havale/EFT,38.0,Erkek,Tamamlandı,4.1,0.0
2024-02-27,Bursa,Elektronik,Dizüstü Bilgisayar,23670.02,2,47340.04,Bireysel,Banka Kartı,40.0,Erkek,Tamamlandı,5.0,0.25
2024-02-28,Trabzon,Giyim,Elbise,524.83,7,3673.81,Kurumsal,Kapıda Ödeme,47.0,Kadın,Tamamlandı,4.2,0.0
2024-02-28,İstanbul,Gıda,Bal,319.08,1,319.08,Bireysel,Havale/EFT,57.0,Erkek,Tamamlandı,5.0,0.0
2024-03-01,Samsun,Spor,Spor Çantası,1002.47,2,2004.94,Bireysel,Kredi Kartı,35.0,Erkek,İade Edildi,2.2,0.2
2024-03-01,İstanbul,Elektronik,Kulaklık,2507.49,3,7522.47,Kurumsal,Kapıda Ödeme,29.0,Kadın,İptal Edildi,3.6,0.0
2024-03-02,Adana,Ev & Yaşam,Dekoratif Vazo,738.07,5,3690.35,Bireysel,Banka Kartı,34.0,Erkek,Tamamlandı,3.0,0.0
2024-03-03,Ankara,Ev & Yaşam,Nevresim Takımı,958.91,3,2876.73,Bireysel,Havale/EFT,27.0,Erkek,Beklemede,2.7,0.21
2024-03-03,Konya,Giyim,Ayakkabı,711.26,2,1422.52,Kurumsal,Kredi Kartı,18.0,Kadın,Tamamlandı,3.8,0.0
2024-03-03,Bursa,Elektronik,Tablet,23745.37,1,23745.37,Kurumsal,Banka Kartı,18.0,Kadın,Tamamlandı,3.4,0.0
2024-03-03,Samsun,Elektronik,Tablet,14016.36,1,14016.36,Bireysel,Kapıda Ödeme,22.0,Kadın,Tamamlandı,3.1,0.0
2024-03-05,Adana,Ev & Yaşam,Yastık,1314.97,1,1314.97,Kurumsal,Havale/EFT,31.0,Erkek,Tamamlandı,3.0,0.12
2024-03-05,Antalya,Ev & Yaşam,Dekoratif Vazo,885.91,1,885.91,Bireysel,Kredi Kartı,32.0,Erkek,Tamamlandı,4.0,0.0
2024-03-07,İstanbul,Elektronik,Akıllı Saat,19806.86,4,79227.44,Kurumsal,Banka Kartı,36.0,Kadın,Tamamlandı,3.8,0.0
2024-03-09,Ankara,Gıda,Bal,48.53,2,97.06,Bireysel,Kredi Kartı,25.0,Kadın,Tamamlandı,3.9,0.0
2024-03-09,Antalya,Kitap & Kırtasiye,Boyama Kitabı,273.46,2,546.92,Premium,Kredi Kartı,29.0,Erkek,Tamamlandı,5.0,0.0
2024-03-09,İstanbul,Elektronik,Tablet,4508.6,1,4508.6,Bireysel,Kredi Kartı,25.0,Erkek,Tamamlandı,4.3,0.2
2024-03-09,İstanbul,Spor,Dambıl Seti,2563.65,2,5127.3,Bireysel,Kredi Kartı,18.0,Erkek,Tamamlandı,2.4,0.22
2024-03-09,Antalya,Giyim,Elbise,1918.04,2,3836.08,Bireysel,Kredi Kartı,38.0,Erkek,Tamamlandı,4.3,0.3
2024-03-10,Bursa,Gıda,Bal,322.79,1,322.79,Kurumsal,Kredi Kartı,29.0,Kadın,Tamamlandı,3.1,0.0
2024-03-12,Ankara,Kozmetik,Güneş Kremi,226.6,9,2039.4,Bireysel,Havale/EFT,18.0,Kadın,Tamamlandı,4.5,0.22
2024-03-12,İzmir,Kitap & Kırtasiye,Kalem Seti,66.06,2,132.12,Premium,Havale/EFT,32.0,Kadın,Tamamlandı,5.0,0.0
2024-03-13,Ankara,Elektronik,Akıllı Saat,21692.38,5,108461.9,Bireysel,Banka Kartı,34.0,Erkek,Tamamlandı,4.1,0.0
2024-03-13,Adana,Kozmetik,Göz Farı,631.28,6,3787.68,Bireysel,Havale/EFT,44.0,Erkek,Tamamlandı,5.0,0.0
2024-03-14,Gaziantep,Giyim,Ayakkabı,1699.63,2,3399.26,Bireysel,Banka Kartı,43.0,Erkek,Tamamlandı,4.7,0.06
2024-03-15,İzmir,Kitap & Kırtasiye,Defter,283.26,4,1133.04,Bireysel,Kredi Kartı,37.0,Kadın,İptal Edildi,5.0,0.0
2024-03-15,Adana,Kitap & Kırtasiye,Boyama Kitabı,172.92,1,172.92,Premium,Havale/EFT,41.0,Kadın,Tamamlandı,4.7,0.0
2024-03-15,Konya,Giyim,Pantolon,1072.94,3,3218.82,Kurumsal,Kredi Kartı,23.0,Erkek,Tamamlandı,3.8,0.22
2024-03-15,Ankara,Elektronik,Akıllı Telefon,8665.85,3,25997.55,Premium,Kapıda Ödeme,31.0,Kadın,Tamamlandı,4.4,0.0
2024-03-15,Ankara,Kozmetik,Güneş Kremi,1178.4,1,1178.4,Kurumsal,Kredi Kartı,33.0,Kadın,Beklemede,4.7,0.0
2024-03-16,Ankara,Elektronik,Tablet,15903.98,3,47711.94,Bireysel,Havale/EFT,31.0,Kadın,Beklemede,4.6,0.0
2024-03-16,İstanbul,Kozmetik,Nemlendirici Krem,59.34,2,118.68,Premium,Havale/EFT,28.0,Kadın,Tamamlandı,3.4,0.0
2024-03-18,İzmir,Kozmetik,Nemlendirici Krem,98.37,1,98.37,Bireysel,Havale/EFT,21.0,Erkek,Tamamlandı,3.9,0.0
2024-03-18,İzmir,Giyim,Pantolon,2021.5,2,4043.0,Bireysel,Kapıda Ödeme,29.0,Kadın,Tamamlandı,3.3,0.26
2024-03-18,Samsun,Giyim,Pantolon,626.11,2,1252.22,Bireysel,Havale/EFT,35.0,Erkek,Tamamlandı,3.1,0.0
